Source;Word;AVG;Google Translate;MK
LIWC;abandoned;2;hylätty;hylätty
;able;5;pystyä;pysty
;abominable;1;iljettävä;iljet
Warriner;abuse;1;väärinkäyttö;väärinkäyttö
;accent;5;aksentti;aksentti
;accentuate;5;painottaa;painottaa
LIWC;accept;6,5;hyväksyä;hyväksyä
;ache;2,5;särky;särky
;actually;5;itse asiassa;itse asiassa
LIWC;advantageous;7;edullinen;edullinen
Warriner;afraid;3;peloissaan;peloiss
LIWC;agree;5,5;olla samaa mieltä;olla samaa mieltä
LIWC;agrees;5,5;suostuu;suostu
Russel;alarmed;3,5;huolissaan;huolissaan
;allright;6,5;selvä;selvä
Warriner;amazing;9;mahtava;mahtava
Russel;angry;1,5;suuttunut;suuttunut
;annoyance;2,5;ärsyttävyys;ärsyttävä
Russel;annoyed;2,5;vihainen;vihainen
STACK OVERFLOW;annoying;2,5;ärsyttävä;ärsyttävä
;another;5;toinen;toinen
;antic;5;naurettava;ilveillä
;anyway;5;joka tapauksessa;
;apologies;4,5;anteeksi;anteeksi
;appreciate;6;arvostaa;arvostaa
STACK OVERFLOW;appreciated;6;Ymmärretään;arvostettu
;approach;5;lähestyä;lähestyä
Russel;aroused;5;herättänyt;herätä
;assail;3,5;ahdistaa;käydä päälle
;astonishing ;6,5;hämmästyttävä;
;atrocious;1,5;julma;julma
Warriner;attack;4;hyökkäys;hyök
;attacks;4;iskut;hyökkäys
;aweful;4;aweful;
SentiStrength;awesome;9;mahtava;mahtava
Warriner;awful;1,5;hirveä;hirve
;bad;2,5;huono;huono
;bask;5,5;paistatella;paistatella
;being;5;ollessa;olla
;bemused;4;hämmentynyt;hämmentynyt
;beneficial;6,5;suotuisa;suotuisa
LIWC;best;8;parhaat;paras
;better;6,5;paremmin;paremmin
;bit;5;bitti;bitti
;blocker;3;esto;blocker
;boolean;5;boolean;boolean
Russel;bored;4,5;kyllästynyt;tyls
;bother;4;vaivautua;vaivautua
;bothersome;3,5;kiusallinen;kiusallinen
;bottom;5;pohja;pohja
;btw;5;bTW;btw
;bugs;4,5;Bugs;bugi
;but;5;mutta;mutta
Russel;Calm;5;rauhoittaa;rauhoit
;calmness;5;tyyneys;tyyney
;care;5,5;hoito;hoito
;case;5;tapaus;tapaus
;cases;5;tapauksissa;tapauks
;certainly;5;varmasti;varmasti
;character;5;merkki;merkki
;cheers;7;Kippis;kippis
;cherished;6,5;arvossa pidetty;arvostettu
;chilling;4,5;hyytävä;hyytävä
;circumstances;5;olosuhteet;olosuhteet
LIWC;clever;6;taitava;taitava
;collected;5;koottu;koota
;collector;5;keräilijä;keräilijä
;commit;5,5;sitoutumaan;commit
;committed;5;sitoutunut;commit
;completely;5;täysin;täysin
;comprehended;5;käsittänyt;käsittää
LIWC;concentrate;5;keskittää;keskittää
;concern;4,5;koskea;koskea
;concord;6;sopu;sopu
;concur;6;yhtyä;yhtyä
;confounded;4;kirottu;kirottu
LIWC;confused;4;hämmentynyt;hämmentynyt
;confusing;4;hämmentävä;hämmentävä
;constraint;5;rajoite;rajoite
Russel;content;5,5;pitoisuus;pitoisuus
;contented;6;tyytyväinen;tyytyväinen
;contents;5;sisällys;sisältää
;contribute;5,5;edistävät;edistävät
;convenient;6;mukava;mukava
;convinced;5;vakuuttunut;vakuuttua
;cool;6,5;viileä;viileä
SentiStrength;corrupt;4;turmeltunut;turmeltua
;corrupted;4;vioittunut;vioittu
;corruption;4;korruptio;korruptio
SentiStrength;corruptions;4;korruptioiden;korruptiot
;course;5;kurssi;kurssi
LIWC;create;5;luoda;luoda
;created;5;luotu;luotu
;creates;5;luo;luo
;creating;5,5;luominen;luominen
LIWC;creative;5,5;luova;luova
LIWC;critical;3,5;kriittinen;kriitti
SentiStrength;dead;4;kuollut;kuollut
;decease;4;kuolema;kuolema
;decompress;5;purkaa;purkaa
;dedicate;5;omistaa;omistaa
;defeated;4,5;voitti;lyöty
;defer;4,5;lykätä;lykätä
Russel;delighted;7,5;iloinen;iloinen
;demoralize;3;turmella;turmella
Russel;depression;1,5;masennus;masen
;derelict;3,5;ränsistynyt;ränsistynyt
;deserted;4,5;autio;autio
SentiStrength;desirable;5,5;toivottava;toivottava
;desire;6;himoita;himoita
;destiny;5;kohtalo;kohtalo
LIWC;destroy;3,5;tuhota;tuhota
;destruct;4;destruct;tuhoutua
Warriner;determination;5,5;päättäväisyys;päättäväisyys
SentiStrength;devote;5,5;omistaa;omistaa
Warriner;die;3;kuolla;kuolla
;difficult;5;vaikea;vaikea
;difficulties;5;vaikeudet;vaikeu
;difficulty;5;vaikeus;vaikeus
;dire;4,5;hirveä;hirveä
;disappointed;3,5;pettynyt;pettynyt
Russel;Distressed;3,5;levoton;levoton
;divine;6;jumalallinen;jumalallinen
;down;4,5;alas;alas
;dreadful;2;kauhea;kauhea
;drooping;4;roikkuvat;roikkuvat
;due;5;maksettava;maksettava
;easy;5,5;helppo;helppo
;effectively;5;tehokkaasti;tehok
;elegant;6;tyylikäs;tyylikäs
;emotional;5;tunteellinen;tunteellinen
;emphasise;5;painottaa;painottaa
;emphasize;5;painottaa;painottaa
;enabled;5,5;käytössä;salli
LIWC;energy;5;energia;energia
SentiStrength;enjoy;6;nauttia;nauttia
STACK OVERFLOW;error;4;virhe;virhe
;errors;4;virheitä;virheitä
;especially;5;erityisesti;erityisesti
;everyone;5;jokainen;jokainen
;everything;5;kaikki;kaikki
Warriner;evil;2,5;paha;paha
;exceed;5,5;ylittää;ylittää
Warriner;excellent;8;erinomainen;erinomainen
;exception;4,5;poikkeus;poikkeus
Warriner;excited;6,5;innoissaan;innoissa
SentiStrength;exciting;6;jännittävä;jännittä
;exit;4,5;poistuminen;poistu
;expire;4,5;mennä umpeen;umpeutua
;exposure;5;valotus;altistus
;extremely;5;erittäin;erittäin
